iter	Logloss
0	0.6680995414
1	0.6475135114
2	0.6189275355
3	0.5928525875
4	0.5682606888
5	0.5442685758
6	0.5279527843
7	0.5167790256
8	0.4985432266
9	0.4805628251
10	0.4659465599
11	0.4547683803
12	0.4423869229
13	0.4249892382
14	0.4134178111
15	0.4019578182
16	0.3896245292
17	0.377986188
18	0.3670881995
19	0.3557939672
20	0.3454043195
21	0.3360526692
22	0.326433215
23	0.3205633357
24	0.3124059316
25	0.3034997042
26	0.2978890958
27	0.2921326088
28	0.2836406428
29	0.2773126569
30	0.2722876751
31	0.2680301544
32	0.2636355906
33	0.2575014319
34	0.2497807477
35	0.2443319135
36	0.2395367716
37	0.2345902955
38	0.230113551
39	0.2259020888
40	0.2199286377
41	0.2161568585
42	0.2125384624
43	0.2088143764
44	0.2046618807
45	0.2006123235
46	0.1977005178
47	0.1945591559
48	0.1914697743
49	0.1887878827
50	0.1860670221
51	0.184199954
52	0.1811985634
53	0.1799326704
54	0.1773018979
55	0.1759551561
56	0.1727568086
57	0.1699925799
58	0.167365299
59	0.1647706686
60	0.1628981103
61	0.1601520031
62	0.15751798
63	0.1553440715
64	0.1534739901
65	0.1510655501
66	0.1489529744
67	0.1475391578
68	0.1460636402
69	0.1436266294
70	0.1415336263
71	0.1396721298
72	0.1383097483
73	0.1367750222
74	0.1359467619
75	0.1337293121
76	0.1314745431
77	0.1306583139
78	0.1294142672
79	0.128365374
80	0.1271089944
81	0.1255887572
82	0.1239530279
83	0.1220367483
84	0.1206375901
85	0.119375385
86	0.1178437364
87	0.117050275
88	0.1154549483
89	0.1140286042
90	0.1123753108
91	0.1112732968
92	0.1102696048
93	0.1096213562
94	0.1080245952
95	0.1060805586
96	0.1056426958
97	0.1044883081
98	0.1035396482
99	0.1021759589
100	0.1011602926
101	0.1000570466
102	0.09956529405
103	0.09875051742
104	0.09803231387
105	0.09701189471
106	0.09580139504
107	0.09516232446
108	0.09435429711
109	0.09304310667
110	0.09138654239
111	0.09063053619
112	0.08954976717
113	0.0884317722
114	0.08795547018
115	0.08650333321
116	0.08578892283
117	0.08528267596
118	0.08389489964
119	0.0829653161
120	0.08202608404
121	0.08151197592
122	0.0807560789
123	0.07980495846
124	0.07908240997
125	0.07834213574
126	0.07739876904
127	0.0761395186
128	0.07536768914
129	0.07483935413
130	0.07423556779
131	0.07368299661
132	0.07288842851
133	0.0725105837
134	0.07200967639
135	0.07118910285
136	0.07062157466
137	0.06977878094
138	0.06914926597
139	0.06876483542
140	0.06839262321
141	0.06780626125
142	0.0668017842
143	0.06594766077
144	0.06565629439
145	0.06539591078
146	0.06483084357
147	0.06441532526
148	0.06390407114
149	0.06347510362
150	0.06311367587
151	0.06252038807
152	0.06202035661
153	0.06156052522
154	0.06107015526
155	0.0607518178
156	0.06029003537
157	0.05974573903
158	0.0594739394
159	0.05884261615
160	0.05817634128
161	0.05785502857
162	0.05726568586
163	0.05695255509
164	0.05616793319
165	0.05578112701
166	0.05528474784
167	0.05505056477
168	0.0546737163
169	0.0541418095
170	0.0536908571
171	0.05306586716
172	0.0527552602
173	0.05217519761
174	0.05191830424
175	0.05140547893
176	0.05108201754
177	0.05045667199
178	0.04998255742
179	0.04939757614
180	0.04884999966
181	0.04826048191
182	0.0477760796
183	0.04745699182
184	0.04713649953
185	0.04675880916
186	0.04655894145
187	0.04635247429
188	0.04600292645
189	0.04565407672
190	0.04541910548
191	0.04520418911
